method,split,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
robust_single_worst_sensor_policy,paired_sensor_shift,480,0.54722,0.01830,0.17813,0.01549,0.09826,0.01107,0.46285,0.01814,0.30139,0.01702,0.28993,0.01647,0.11979,0.01201,0.67011,0.00640,0.07581,0.00097,0.33668,0.00313,0.02132,0.02776
robust_single_worst_sensor_policy,recovery_latency_shift,480,0.53681,0.01811,0.20174,0.01544,0.11424,0.01195,0.42257,0.01709,0.26215,0.01485,0.30417,0.01651,0.13889,0.01243,0.81700,0.00806,0.09098,0.00114,0.35883,0.00381,-0.06258,0.02813
robust_single_worst_sensor_policy,single_sensor_shift,480,0.60313,0.01709,0.17257,0.01433,0.08646,0.01037,0.42500,0.01770,0.33715,0.01796,0.25278,0.01600,0.08229,0.01024,0.63681,0.00545,0.06238,0.00089,0.31466,0.00274,0.11965,0.02660
sensor_dropout_augmentation,combined_extreme,480,0.41076,0.01760,0.31007,0.01704,0.18958,0.01391,0.29618,0.01679,0.15243,0.01310,0.40694,0.01844,0.20486,0.01512,0.90210,0.00817,0.14321,0.00127,0.47170,0.00533,-0.42020,0.02931
sensor_dropout_augmentation,delayed_recovery,480,0.48542,0.01818,0.24653,0.01606,0.16215,0.01374,0.32431,0.01716,0.20521,0.01556,0.37396,0.01790,0.12465,0.01257,0.85618,0.00751,0.10259,0.00095,0.41990,0.00433,-0.21463,0.02875
sensor_dropout_augmentation,desynchronization_shift,480,0.44514,0.01843,0.27882,0.01728,0.17813,0.01456,0.32674,0.01560,0.16840,0.01418,0.36840,0.01771,0.15972,0.01334,0.84498,0.00808,0.11695,0.00109,0.44164,0.00489,-0.30874,0.03102
sensor_dropout_augmentation,false_alarm_shift,480,0.45278,0.01755,0.24826,0.01580,0.16632,0.01418,0.31632,0.01766,0.20382,0.01513,0.36806,0.01770,0.15903,0.01354,0.79838,0.00701,0.11788,0.00112,0.42878,0.00473,-0.25029,0.02911
sensor_dropout_augmentation,nominal,480,0.55764,0.01879,0.17396,0.01468,0.10660,0.01129,0.35313,0.01735,0.29653,0.01644,0.32847,0.01771,0.05972,0.00846,0.66371,0.00418,0.05701,0.00067,0.34333,0.00319,0.04666,0.02740
sensor_dropout_augmentation,paired_sensor_shift,480,0.49444,0.01904,0.25486,0.01649,0.16424,0.01354,0.32222,0.01666,0.20694,0.01598,0.36910,0.01725,0.15521,0.01269,0.75409,0.00645,0.10848,0.00098,0.42129,0.00421,-0.20525,0.03137
sensor_dropout_augmentation,recovery_latency_shift,480,0.44375,0.01855,0.28611,0.01654,0.19097,0.01511,0.29375,0.01645,0.16458,0.01413,0.39549,0.01798,0.17118,0.01370,0.90052,0.00805,0.12388,0.00114,0.44845,0.00497,-0.34934,0.03069
sensor_dropout_augmentation,single_sensor_shift,480,0.50764,0.01796,0.23715,0.01573,0.13611,0.01271,0.29757,0.01656,0.27465,0.01665,0.34410,0.01752,0.08993,0.00995,0.72112,0.00542,0.09519,0.00089,0.39537,0.00364,-0.12016,0.03003
sensor_dropout_transformer_policy,combined_extreme,480,0.55660,0.01943,0.26424,0.01681,0.13785,0.01254,0.47465,0.01851,0.37674,0.01790,0.26667,0.01701,0.13750,0.01221,0.73387,0.00815,0.08938,0.00129,0.30293,0.00330,-0.10083,0.02937
sensor_dropout_transformer_policy,delayed_recovery,480,0.62951,0.01736,0.19167,0.01602,0.11875,0.01196,0.50833,0.01816,0.44826,0.01923,0.23229,0.01536,0.07500,0.00998,0.68831,0.00753,0.04880,0.00095,0.26939,0.00245,0.10202,0.02828
sensor_dropout_transformer_policy,desynchronization_shift,480,0.59097,0.01730,0.22292,0.01605,0.11875,0.01231,0.49792,0.01802,0.40868,0.01829,0.25451,0.01615,0.09826,0.01064,0.67737,0.00808,0.06313,0.00110,0.28362,0.00286,0.01834,0.02866
sensor_dropout_transformer_policy,false_alarm_shift,480,0.61389,0.01753,0.20660,0.01594,0.12847,0.01213,0.49271,0.01910,0.45382,0.01851,0.24340,0.01546,0.11597,0.01313,0.63055,0.00703,0.06408,0.00111,0.27564,0.00277,0.05788,0.02757
sensor_dropout_transformer_policy,nominal,480,0.69132,0.01675,0.11563,0.01160,0.07049,0.00942,0.53819,0.01930,0.52917,0.01701,0.17917,0.01323,0.02326,0.00552,0.49593,0.00418,0.00634,0.00038,0.22038,0.00205,0.34956,0.02201
sensor_dropout_transformer_policy,paired_sensor_shift,480,0.62396,0.01747,0.20312,0.01568,0.11111,0.01157,0.50278,0.01823,0.44653,0.01783,0.23125,0.01553,0.08715,0.01055,0.58661,0.00646,0.05494,0.00096,0.26959,0.00243,0.10461,0.02639
sensor_dropout_transformer_policy,recovery_latency_shift,480,0.58854,0.01779,0.22153,0.01646,0.11285,0.01224,0.48438,0.01839,0.40069,0.01763,0.24653,0.01586,0.11042,0.01194,0.73234,0.00804,0.07002,0.00113,0.28779,0.00295,0.01190,0.02710
sensor_dropout_transformer_policy,single_sensor_shift,480,0.65451,0.01566,0.17743,0.01510,0.10208,0.01148,0.47222,0.01852,0.50174,0.01889,0.22674,0.01533,0.04653,0.00808,0.55300,0.00538,0.04156,0.00088,0.25288,0.00213,0.18807,0.02553
