method,seed,rows,success,ci95_success,safety_violation,ci95_safety_violation,damage,ci95_damage,fault_f1,ci95_fault_f1,interaction_f1,ci95_interaction_f1,missed_fault,ci95_missed_fault,false_isolation,ci95_false_isolation,recovery_latency,ci95_recovery_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
risk_aware_sensor_reconfiguration,6,192,0.65972,0.02832,0.17795,0.02264,0.08681,0.01671,0.48785,0.02950,0.48003,0.02966,0.21441,0.02526,0.09028,0.01803,0.59354,0.01490,0.02448,0.00241,0.23494,0.00370,0.19225,0.04449
risk_aware_sensor_reconfiguration,7,192,0.64757,0.02852,0.16667,0.02171,0.08507,0.01671,0.52083,0.02787,0.46875,0.02851,0.19010,0.02321,0.08767,0.01722,0.59319,0.01491,0.02434,0.00240,0.23550,0.00369,0.20169,0.04366
risk_aware_sensor_reconfiguration,8,192,0.66406,0.02592,0.18750,0.02501,0.09028,0.01651,0.48698,0.02854,0.46094,0.02700,0.20312,0.02405,0.08160,0.01582,0.59395,0.01490,0.02455,0.00238,0.23544,0.00374,0.18882,0.04377
risk_aware_sensor_reconfiguration,9,192,0.63889,0.02938,0.19184,0.02404,0.07465,0.01614,0.49913,0.02798,0.44705,0.02963,0.21441,0.02232,0.08941,0.01787,0.59313,0.01487,0.02466,0.00241,0.23467,0.00371,0.16665,0.03975
risk_calibrated_sensor_composition_v5,0,192,0.75781,0.02458,0.12847,0.01884,0.05990,0.01367,0.61458,0.02789,0.69271,0.02480,0.10938,0.01910,0.00608,0.00443,0.44222,0.01486,0.00208,0.00006,0.08736,0.00139,0.44785,0.03489
risk_calibrated_sensor_composition_v5,1,192,0.80642,0.02484,0.16059,0.02417,0.04861,0.01153,0.60851,0.02953,0.66233,0.02658,0.09549,0.01861,0.00260,0.00293,0.44248,0.01490,0.00207,0.00004,0.08647,0.00144,0.47599,0.03608
risk_calibrated_sensor_composition_v5,2,192,0.79167,0.02424,0.12153,0.01899,0.06163,0.01373,0.60330,0.02639,0.68056,0.02898,0.09462,0.01732,0.00694,0.00472,0.44295,0.01490,0.00205,0.00003,0.08715,0.00149,0.49188,0.03327
risk_calibrated_sensor_composition_v5,3,192,0.80382,0.02436,0.13281,0.02012,0.05122,0.01416,0.60503,0.02878,0.69705,0.02476,0.09722,0.01778,0.00521,0.00411,0.44305,0.01499,0.00208,0.00006,0.08720,0.00146,0.50000,0.03429
risk_calibrated_sensor_composition_v5,4,192,0.78819,0.02664,0.13889,0.02038,0.05903,0.01506,0.58420,0.02984,0.67622,0.02846,0.09288,0.01576,0.00174,0.00240,0.44249,0.01474,0.00207,0.00004,0.08733,0.00145,0.47364,0.03532
risk_calibrated_sensor_composition_v5,5,192,0.80208,0.02432,0.14497,0.02209,0.06858,0.01623,0.61024,0.03047,0.69097,0.02750,0.09983,0.01806,0.00608,0.00504,0.44318,0.01483,0.00205,0.00003,0.08698,0.00147,0.46990,0.03707
risk_calibrated_sensor_composition_v5,6,192,0.78212,0.02344,0.14844,0.02216,0.04861,0.01295,0.58941,0.02904,0.67448,0.02700,0.08854,0.01788,0.00521,0.00411,0.44253,0.01490,0.00208,0.00005,0.08773,0.00136,0.46626,0.03563
risk_calibrated_sensor_composition_v5,7,192,0.78819,0.02275,0.13542,0.02084,0.06424,0.01540,0.59983,0.02845,0.68316,0.02537,0.10156,0.01737,0.00434,0.00376,0.44237,0.01489,0.00204,0.00003,0.08703,0.00139,0.46991,0.03430
risk_calibrated_sensor_composition_v5,8,192,0.78472,0.02717,0.13108,0.01991,0.05556,0.01372,0.59375,0.02840,0.68490,0.02580,0.12153,0.02018,0.00781,0.00500,0.44203,0.01493,0.00207,0.00005,0.08739,0.00145,0.47148,0.03649
risk_calibrated_sensor_composition_v5,9,192,0.82118,0.02406,0.13628,0.02107,0.06944,0.01513,0.59288,0.03020,0.69705,0.02928,0.09028,0.01668,0.00694,0.00530,0.44251,0.01497,0.00206,0.00005,0.08678,0.00145,0.50043,0.03563
robust_single_worst_sensor_policy,0,192,0.53906,0.02976,0.21267,0.02532,0.11372,0.01818,0.43490,0.02563,0.24132,0.02527,0.29340,0.02581,0.14323,0.02027,0.76620,0.01486,0.09039,0.00254,0.35706,0.00624,-0.06085,0.04349
robust_single_worst_sensor_policy,1,192,0.55382,0.03051,0.19705,0.02568,0.09722,0.01795,0.42622,0.02882,0.26042,0.02503,0.30729,0.02672,0.13368,0.01934,0.76596,0.01488,0.09024,0.00257,0.35627,0.00624,-0.01752,0.05034
robust_single_worst_sensor_policy,2,192,0.49913,0.02637,0.19705,0.02464,0.10851,0.01850,0.42795,0.02788,0.25694,0.02287,0.29601,0.02639,0.17535,0.02234,0.76709,0.01480,0.09038,0.00257,0.35589,0.00622,-0.08827,0.04546
robust_single_worst_sensor_policy,3,192,0.54080,0.02932,0.21094,0.02673,0.11024,0.01892,0.41580,0.02740,0.24740,0.02376,0.31510,0.02523,0.13455,0.01883,0.76655,0.01492,0.09023,0.00253,0.35739,0.00626,-0.05887,0.05040
robust_single_worst_sensor_policy,4,192,0.52865,0.03077,0.21788,0.02430,0.11806,0.01819,0.45833,0.03013,0.27691,0.02593,0.31510,0.02796,0.14410,0.02022,0.76620,0.01488,0.09018,0.00252,0.35664,0.00622,-0.08715,0.04266
robust_single_worst_sensor_policy,5,192,0.51736,0.02697,0.21094,0.02421,0.10503,0.01827,0.43837,0.02899,0.27083,0.02681,0.29427,0.02486,0.12934,0.02043,0.76677,0.01498,0.09029,0.00254,0.35698,0.00630,-0.07057,0.04738
robust_single_worst_sensor_policy,6,192,0.51128,0.02925,0.19618,0.02472,0.12240,0.02029,0.44618,0.02729,0.28993,0.02559,0.29340,0.02593,0.14583,0.02178,0.76596,0.01489,0.09030,0.00254,0.35662,0.00619,-0.07851,0.04478
robust_single_worst_sensor_policy,7,192,0.52344,0.02799,0.19878,0.02326,0.10503,0.01762,0.45052,0.02413,0.26476,0.02487,0.27865,0.02402,0.12587,0.01926,0.76681,0.01489,0.09044,0.00253,0.35646,0.00630,-0.04587,0.04392
robust_single_worst_sensor_policy,8,192,0.53733,0.02951,0.20573,0.02634,0.12847,0.02003,0.42795,0.02571,0.26042,0.02432,0.29427,0.02721,0.14757,0.02247,0.76668,0.01499,0.09058,0.00254,0.35685,0.00618,-0.06858,0.04657
robust_single_worst_sensor_policy,9,192,0.53906,0.02976,0.21354,0.02765,0.13281,0.02165,0.43056,0.02997,0.27170,0.02723,0.29340,0.02659,0.13021,0.02053,0.76640,0.01498,0.09029,0.00252,0.35638,0.00621,-0.07435,0.04572
sensor_dropout_augmentation,0,192,0.43750,0.02969,0.25868,0.02504,0.15451,0.02269,0.33854,0.02423,0.16493,0.02117,0.36719,0.02627,0.15191,0.02086,0.85020,0.01492,0.12327,0.00252,0.44571,0.00810,-0.27435,0.04720
sensor_dropout_augmentation,1,192,0.45747,0.02977,0.28559,0.02757,0.19010,0.02179,0.28906,0.02481,0.17101,0.02281,0.38108,0.03000,0.16753,0.02269,0.85034,0.01494,0.12303,0.00258,0.44560,0.00809,-0.32056,0.05036
sensor_dropout_augmentation,2,192,0.44097,0.02934,0.28385,0.02730,0.17448,0.02379,0.28559,0.02660,0.18316,0.02152,0.38368,0.02764,0.18924,0.02367,0.85040,0.01498,0.12305,0.00254,0.44506,0.00822,-0.32837,0.04865
sensor_dropout_augmentation,3,192,0.46094,0.02937,0.27778,0.02701,0.16406,0.02123,0.31250,0.02559,0.15799,0.02527,0.40017,0.02835,0.15625,0.02027,0.85002,0.01493,0.12296,0.00256,0.44550,0.00811,-0.29026,0.05207
sensor_dropout_augmentation,4,192,0.42882,0.02910,0.28993,0.02870,0.18490,0.02202,0.30382,0.02664,0.17014,0.02400,0.38802,0.02836,0.17969,0.02183,0.85055,0.01486,0.12315,0.00254,0.44605,0.00807,-0.35467,0.04806
sensor_dropout_augmentation,5,192,0.45486,0.02813,0.30122,0.02696,0.18142,0.02168,0.33073,0.02454,0.17969,0.02423,0.41580,0.03089,0.19531,0.02310,0.85035,0.01491,0.12316,0.00254,0.44589,0.00815,-0.35001,0.04674
sensor_dropout_augmentation,6,192,0.44444,0.03266,0.26997,0.02549,0.18229,0.02341,0.33420,0.02777,0.17274,0.02176,0.38108,0.02627,0.16840,0.02144,0.85027,0.01495,0.12315,0.00254,0.44557,0.00814,-0.31050,0.05308
sensor_dropout_augmentation,7,192,0.42882,0.02670,0.28733,0.02634,0.19010,0.02152,0.31250,0.02626,0.17274,0.02189,0.38021,0.02786,0.17274,0.02136,0.85110,0.01487,0.12310,0.00255,0.44639,0.00807,-0.35220,0.04659
sensor_dropout_augmentation,8,192,0.46962,0.02997,0.27778,0.02534,0.17708,0.02153,0.29861,0.02685,0.17448,0.02267,0.35590,0.02947,0.17448,0.02135,0.85046,0.01477,0.12310,0.00256,0.44594,0.00805,-0.28343,0.04970
sensor_dropout_augmentation,9,192,0.46181,0.02894,0.29253,0.02769,0.20833,0.02587,0.29167,0.02542,0.18403,0.02363,0.39670,0.02725,0.17188,0.02183,0.85051,0.01496,0.12332,0.00253,0.44601,0.00816,-0.34444,0.05242
sensor_dropout_transformer_policy,0,192,0.59549,0.02998,0.22569,0.02301,0.12413,0.01841,0.48438,0.03156,0.39844,0.02973,0.25347,0.02507,0.10243,0.01926,0.68259,0.01496,0.06948,0.00252,0.28586,0.00487,0.01342,0.04420
sensor_dropout_transformer_policy,1,192,0.58160,0.02803,0.21354,0.02625,0.11545,0.01796,0.49132,0.02842,0.40972,0.02780,0.23351,0.02496,0.11719,0.01975,0.68268,0.01502,0.06929,0.00255,0.28594,0.00486,0.02222,0.04617
sensor_dropout_transformer_policy,2,192,0.59462,0.02970,0.23090,0.02629,0.10851,0.02001,0.48090,0.02852,0.41927,0.02771,0.25608,0.02447,0.10851,0.01834,0.68308,0.01480,0.06937,0.00252,0.28564,0.00487,0.01742,0.04552
sensor_dropout_transformer_policy,3,192,0.58941,0.02833,0.22743,0.02700,0.13889,0.02094,0.51476,0.02912,0.41146,0.02664,0.25694,0.02458,0.10764,0.01772,0.68202,0.01492,0.06935,0.00253,0.28668,0.00496,-0.00882,0.04398
sensor_dropout_transformer_policy,4,192,0.59115,0.02748,0.22309,0.02637,0.10938,0.01848,0.49306,0.02585,0.42882,0.02940,0.24392,0.02707,0.10503,0.01746,0.68245,0.01491,0.06926,0.00255,0.28566,0.00490,0.02627,0.04470
sensor_dropout_transformer_policy,5,192,0.57639,0.02759,0.23090,0.02705,0.09722,0.01778,0.46962,0.03026,0.39757,0.02872,0.24566,0.02448,0.12413,0.01777,0.68318,0.01480,0.06953,0.00254,0.28562,0.00496,0.00779,0.04679
sensor_dropout_transformer_policy,6,192,0.58941,0.02843,0.23003,0.02560,0.12326,0.01892,0.52951,0.02915,0.41840,0.02844,0.26389,0.02690,0.12066,0.01887,0.68236,0.01489,0.06920,0.00254,0.28593,0.00483,-0.00407,0.04380
sensor_dropout_transformer_policy,7,192,0.61198,0.02688,0.25087,0.02598,0.12066,0.02050,0.48090,0.02922,0.38628,0.02972,0.23524,0.02451,0.10069,0.01688,0.68268,0.01489,0.06948,0.00255,0.28633,0.00493,0.01144,0.04336
sensor_dropout_transformer_policy,8,192,0.58767,0.03079,0.25087,0.02665,0.14670,0.02063,0.46528,0.02685,0.39931,0.02954,0.24913,0.02424,0.10938,0.01783,0.68183,0.01481,0.06939,0.00253,0.28637,0.00488,-0.04032,0.05190
sensor_dropout_transformer_policy,9,192,0.58247,0.02955,0.19618,0.02400,0.11719,0.01838,0.48958,0.02951,0.41233,0.02750,0.25955,0.02922,0.08767,0.01722,0.68261,0.01481,0.06932,0.00254,0.28579,0.00490,0.03969,0.04170
